name,url,level,school,casting_time,range,components,concentration,ritual,description,source
,,Level Abi-Dalzim's Horrid Wilting,8,necromancy,1 action,150 ft,No,No,,Creatures in a 30-foot cube must succeed on a Con. save or take 12d8 necrotic damage. Plants wither and die.
,,Level Absorb Elements,1,abjuration,1 reaction,Self,No,No,,The caster has resistance to the damage received and deals 1d6 extra damage of the same type on his next attack (damage/lvl).
,,Level Acid Splash,0,conjuration,1 action,60 ft,No,No,,1 or 2 creatures within 5 feet must succeed on a Dex. save or take 1d6 acid damage (damage/lvl).
,,Level Aganazzar's Scorcher,2,evocation,1 action,30 ft,No,No,,"Creatures on a 30-ft-long, 5-ft-wide line must succeed on a Dex. save or taker 3d8 fire damage (damage/lvl)."
,,Level Aid,2,abjuration,1 action,30 ft,No,No,,Up to 3 creatures increase their hp maximum and current hp by 5 (+5 hp/lvl).
,,Level Alarm,1,abjuration,1 minute,30 ft,No,No,Ritual,Alert the caster or activate an alarm if a Tiny or larger creature enters a warded 20-ft cube.
,,Level Alter Self,2,transmutation,1 action,Self,No,No,,"Give a new form depending on the chosen option (Aquatic Adaptation, Change Appearance, or Natural Weapons)."
,,Level Animal Friendship,1,enchantment,1 action,30 ft,No,No,,A beast with Intelligence 3 or less must succeed on a Wis. save or be charmed (+1 beast/lvl).
,,Level Animal Messenger,2,enchantment,1 action,30 ft,No,No,Ritual,A Tiny beast travels to deliver a 25 words message to a target (+48 h/lvl).
,,Level Animal Shapes,8,transmutation,1 action,30 ft,No,No,,Willing targets within 30 ft turn into beasts with a CR of 4 or lower.
,,Level Animate Dead,3,necromancy,1 minute,10 ft,No,No,,"Create a skeleton from bones or a zombie from a corpse, who is under the caster control (+2 creatures/lvl)."
,,Level Animate Objects,5,transmutation,1 action,120 ft,No,No,,Animate up to 10 non-magic objects and control their actions up to 500 ft (+2 items/lvl).
,,Level Antilife Shell,5,abjuration,1 action,Self (10-ft radius),No,No,,Prevent creatures other than undead and constructs from entering in a 10-ft radius.
,,Level Antimagic Field,8,abjuration,1 action,Self (10-ft-radius sphere),No,No,,Create a 10-ft-radius sphere in which spells and magic items no longer work.
,,Level Antipathy/Sympathy,8,enchantment,1 hour,60 ft,No,No,,Attract or repel (Wis. save in order to not be attracted or scared) a kind of creature designated within 60 ft.
,,Level Arcane Eye,4,divination,1 action,30 ft,No,No,,Create an invisible eye with darkvision that sends the caster the mental image of what it sees.
,,Level Arcane Gate,6,conjuration,1 action,500 ft,No,No,,Create 2 portals (max 500 ft between them) and allow teleport from one to the other.
,,Level Arcane Lock,2,abjuration,1 action,Touch,No,No,,"Lock an objet (door, window, chest, etc) and the caster can set a password to suppresses the spell for 1 minute."
,,Level Armor of Agathys,1,abjuration,1 action,Self,No,No,,The caster gains 5 temporary hp and creatures who hits him with a melee attack take 5 cold damage (+5 hp and damage/lvl).
