name,url,level,school,casting_time,range,components,concentration,ritual,description,source
Abi-Dalzim's Horrid Wilting,https://www.aidedd.org/dnd/sorts.php?vo=abi-dalzim-s-horrid-wilting,Level 8,necromancy,1 action,150 ft,"V,S,M",No,No,Creatures in a 30-foot cube must succeed on a Con. save or take 12d8 necrotic damage. Plants wither and die.,Xanathar´s Guide to Everything
Absorb Elements,https://www.aidedd.org/dnd/sorts.php?vo=absorb-elements,Level 1,abjuration,1 reaction,Self,S,No,No,The caster has resistance to the damage received and deals 1d6 extra damage of the same type on his next attack (damage/lvl).,Xanathar´s Guide to Everything
Acid Splash,https://www.aidedd.org/dnd/sorts.php?vo=acid-splash,Cantrip,conjuration,1 action,60 ft,"V,S",No,No,1 or 2 creatures within 5 feet must succeed on a Dex. save or take 1d6 acid damage (damage/lvl).,Player´s Handbook (SRD)
Aganazzar's Scorcher,https://www.aidedd.org/dnd/sorts.php?vo=aganazzar-s-scorcher,Level 2,evocation,1 action,30 ft,"V,S,M",No,No,"Creatures on a 30-ft-long, 5-ft-wide line must succeed on a Dex. save or taker 3d8 fire damage (damage/lvl).",Xanathar´s Guide to Everything
Aid,https://www.aidedd.org/dnd/sorts.php?vo=aid,Level 2,abjuration,1 action,30 ft,"V,S,M",No,No,Up to 3 creatures increase their hp maximum and current hp by 5 (+5 hp/lvl).,Player´s Handbook (SRD)
Alarm,https://www.aidedd.org/dnd/sorts.php?vo=alarm,Level 1,abjuration,1 minute,30 ft,"V,S,M",No,Yes,Alert the caster or activate an alarm if a Tiny or larger creature enters a warded 20-ft cube.,Player´s Handbook (SRD)
Alter Self,https://www.aidedd.org/dnd/sorts.php?vo=alter-self,Level 2,transmutation,1 action,Self,"V,S",Yes,No,"Give a new form depending on the chosen option (Aquatic Adaptation, Change Appearance, or Natural Weapons).",Player´s Handbook (SRD)
Animal Friendship,https://www.aidedd.org/dnd/sorts.php?vo=animal-friendship,Level 1,enchantment,1 action,30 ft,"V,S,M",No,No,A beast with Intelligence 3 or less must succeed on a Wis. save or be charmed (+1 beast/lvl).,Player´s Handbook (SRD)
Animal Messenger,https://www.aidedd.org/dnd/sorts.php?vo=animal-messenger,Level 2,enchantment,1 action,30 ft,"V,S,M",No,Yes,A Tiny beast travels to deliver a 25 words message to a target (+48 h/lvl).,Player´s Handbook (SRD)
Animal Shapes,https://www.aidedd.org/dnd/sorts.php?vo=animal-shapes,Level 8,transmutation,1 action,30 ft,"V,S",Yes,No,Willing targets within 30 ft turn into beasts with a CR of 4 or lower.,Player´s Handbook (SRD)
